1000	FIRST   		 TL      		 41033 	 
1003	CLOOP   		 SUB     		 84039 	 
1006	        		 DA      		 01036 	 
1009	        		 OMP     		 81030 	 
100c	        		 EQ      		 01015 	 
100f	        		 SUB     		 84061 	 
1012	        		         		 c1003 	 
1015	ENDFIL  		 DA      		 0102a 	 
1018	        		 TA      		 c1039 	 
101b	        		 DA      		 0102d 	 
101e	        		 TA      		 c1036 	 
1021	        		 SUB     		 84061 	 
1024	        		 DL      		 81033 	 
1027	        		 SUB     		 c0000 	 
